Index,Date,Classification,CityCode,ExtractedLocation,Text
2042,2020-09-08,Other,"","","TW//bugs, praying mantises, spotted lantern flies . . . . . yo even the praying mantises are going after the spotted lantern flies https://t.co/PHs2FYfKUN"
2043,2020-09-08,Other,"","","This is an invasive insect pest called the spotted lanternfly."
2044,2020-09-08,Spread/Sighting,"","","I saw two spotted lanternflies in my yard this morning. How are we supposed to kill them? They are too fast to smash or spray."
2045,2020-09-08,Other,"USA.PA.State College","","RT @lehighvalley Spotted lanternfly expert warns of dangers of popular insect trap https://t.co/2SncsrdIfN https://t.co/Ts6wBCpUWa"
2046,2020-09-08,Other,"","","Why do these spotted lantern flies have the chaotic ~auDAcity~ to land on me like y’all know I am afraid of literally anything with wings"
2047,2020-09-08,Other,"USA.PA.Philadelphia","","Miss Kiki The Properly Leashed and Supervised Garden Cat: 1 Spotted Lanternfly: 0 https://t.co/dhn2nChD4f"
2048,2020-09-08,Other,"","","why are spotted lantern flies a thing"
2049,2020-09-08,Other,"USA.PA.Philadelphia","","@realcedarcide is Cedarcide effective in killing spotted lantern flies? Thanks"
2050,2020-09-08,Other,"","Australia","Introducing the Spotted lantern fly... keeping it out of Australia is critical to avoid this in our vineyards"
2051,2020-09-08,Other,"USA.PA.Philadelphia","Badbug@pa.gov","@_holdmyliquor @PhillyMayor Hi there, thanks for reaching out about this. If you spot Lanternflies, kill them and call the @PAAgriculture at (888) 4BAD-FLY/888-422-3359 or report it at https://t.co/6m9ZeGQhVT or Badbug@pa.gov."
2052,2020-09-08,Other,"","","Killed a Spotted Lanternfly at work today. My good deed for the day is done."
2053,2020-09-08,Other,"","","I legit think we lost the spotted lanternfly war... they're here and we'd need full out war to eliminate them at this point"
2054,2020-09-08,Other,"","","Spotted lanternflies have infested the region and researchers are hard at work trying to control their spread - https://t.co/BdkJ5qnClz"
2055,2020-09-08,Other,"USA.PA.Philadelphia","","My friend got a tattoo of a spotted lanternfly, and I'll never forgive her for getting it on her arm instead of on the bottom of her foot."
2056,2020-09-08,Other,"USA.PA.Philadelphia","","@stonesifer I am totally fine with spiders. I want them to eat every mosquito, fly, and spotted lantern fly. It’s snakes that make me want to move."
2057,2020-09-08,Spread/Sighting,"USA.PA.Philadelphia","","Good morning to everyone except the spotted lanternfly I found on my curtains 🤬"
2058,2020-09-08,Other,"USA.NY.New York","","RT @MelodyAnneM The Invaders Spotted Lanternflies are taking over our patio! 😕 Photographed with a Canon Rebel T6i and an EF-s 60mm macro lens. #teamcanon #canonusa #spottedlanternflies #invasivespecies #naturephotography #macrophotography https://t.co/zfwac1sEE1 https://t.co/fgzm77QMJi"
2059,2020-09-08,Other,"","","The Invaders Spotted Lanternflies are taking over our patio! 😕 Photographed with a Canon Rebel T6i and an EF-s 60mm macro lens. #teamcanon #canonusa #spottedlanternflies #invasivespecies #naturephotography #macrophotography https://t.co/zfwac1sEE1 https://t.co/fgzm77QMJi"
2060,2020-09-08,Other,"USA.PA.Philadelphia","","@TheMontyDon @NodrogTheRed You are lucky! We have them and you also don’t have spotted lantern flies (and seriously count your blessings)"
2061,2020-09-08,Other,"USA.SC.Anderson","","Keep an eye out for spotted lanternflies - they're a threat to the agriculture and forestry industries in the Southeast. Just another #invasivespecies we don't need down here. https://t.co/lSb1Quj8MR"
2062,2020-09-08,Other,"","","@SimpleChem @heatherleach_ Spotted lanternfly"
2063,2020-09-08,Other,"USA.PA.Philadelphia","","Went to close my curtain this evening and this big momma was on the other side of the window. She’s HUGE. Her web is perfect. I’ll try to get a better picture tomorrow. I hope she captures all of the spotted lantern flies. #BigAssSpider https://t.co/mbfsbDy4zU"
2064,2020-09-08,Other,"","","@AudubonVA Spotted Lanternfly."
2065,2020-09-08,Other,"USA.PA.Philadelphia","","There was just a spotted lantern fly on my bed 🙃"
2066,2020-09-07,Other,"","f’n","Sitting outside journaling, living my best life, and a mother f’n spotted lantern fly jumped at my face 🤬"
2067,2020-09-07,Other,"PHL.National Capital Region.Manila","","Grave of the Spotted Lanternflies 😳 https://t.co/HXBeRkETuI"
2068,2020-09-07,Other,"","","@BryanNehman It’s pretty wild. When they take over, they TAKE OVER. But there are ways to trap them, so that’s a start. More ➡️ shoutout to my former employer.. https://t.co/4IHKyLL9a1"
2069,2020-09-07,Other,"","","say what you want about spotted lanternflies but at least they are giving me the attention i desire"
2070,2020-09-07,Other,"","","This entire time my parents told me that the spotted lantern fly was a premature ladybug 🤦🏽‍♀️"
2071,2020-09-07,Other,"USA.PA.Philadelphia","","Anyone have recommendations to deal with the spotted lantern fly?"
2072,2020-09-07,Other,"USA.PA.Philadelphia","","How do I trick Brownie into eating spotted lantern flies instead of pollinator bees?"
2073,2020-09-07,Other,"USA.MD.Annapolis","Philly, Lancaster, China, MD","The Spotted Lanternfly has taken over PA. Spent most of weekend at soccer games from Philly to Lancaster and couldn’t go a minute w/o seeing one. They’re invasive (China) and are spreading into MD. Real bad news for trees. My father in law is trying to save his... kill on sight! https://t.co/zJUseMBXtQ"
2074,2020-09-07,Other,"USA.PA.Philadelphia","philadelphia","in #philadelphia everyone's been issued a license to kill--spotted lanternflies. the destructive pests are abundant & it's become sidewalk sport of sorts to try stomping them before they fly mockingly into your face. #visitphilly #philly #lanternflies #pests @PAAgriculture https://t.co/1OIkwMRQZd"
2075,2020-09-07,Other,"USA.PA.Philadelphia","","RT @lexi_shannon law and order: sfu (spotted lanternfly unit)"
2076,2020-09-07,Other,"","","@isabetabug - Signal wasn’t great today. I hope it improved. Quick question, did I miss a bug scope about the spotted lantern fly? Man, ARE THEY ANNOYING! Lol. Hope married life in MI are treating you and Rum well!"
2077,2020-09-07,Other,"USA.PA.Philadelphia","","@Mahogany_Mama Spotted Lantern Fly!! Kill it!"
2078,2020-09-07,Other,"CAN.SK.Regina","","Spotted Lanternfly – Lycorma delicatula - Canadian Food Inspection Agency https://t.co/rjpUAElI7d"
2079,2020-09-07,Other,"","","RT @lexi_shannon law and order: sfu (spotted lanternfly unit)"
2080,2020-09-07,Other,"","","@realDonaldTrump @BreitbartNews He doesn't even know who Zach Fuentes is. If it helps him, he couldn't care less who it is. Next up, he'll retweet: 'Giant 300 Pound Spotted Lanternfly Says Trump Didn't Say It'."
2081,2020-09-07,Spread/Sighting,"CAN.SK.Regina","Pennsylvania, China, Foglesville, PA","RT @AntlerOutlaw If you’re in agriculture in Pennsylvania, you know this is another invasive species from China. It’s the Spotted Lantern Fly. I killed this one while eating at Cracker Barrel in Foglesville, PA. I’ll be reporting this on Tuesday when the Ag agency opens! https://t.co/sxH5vYoi6W"
2082,2020-09-07,Other,"","Pennsylvania","putting my money where my mouth is. $100 of my personal cold, hard cash to anyone who successfully eradicates spotted lantern flies from Pennsylvania (24 hour offer)"
2083,2020-09-07,Other,"USA.PA.Philadelphia","","RT @basikscience PA friends, as we move into fall, make sure to check your cars and anything outside for spotted lanternfly egg masses. They are laid between September and June. See this article for how to identify and destroy them -- https://t.co/dYP1hThh6Y"
2084,2020-09-07,Other,"USA.PA.Philadelphia","","Today’s socially distanced walk brought to you by Radnor trail and a 100 spotted lantern flies https://t.co/zZrblfUZRy https://t.co/YoDSXdwzaO"
2085,2020-09-07,Other,"USA.PA.Philadelphia","","Ardmore’s Subrban Square is like Amityville Horror with spotted lanternflies 😱"
2086,2020-09-07,Other,"","","@stablegenius74 @KarenAttiah BUT they eat Spotted Lantern Flies plaguing midatlantic so sometimes they are helpful."
2087,2020-09-07,Other,"","","'Give us this day our daily spotted lantern fly.' @ Briar Lake https://t.co/zWte2eChTN"
2088,2020-09-07,Other,"","","PA friends, as we move into fall, make sure to check your cars and anything outside for spotted lanternfly egg masses. They are laid between September and June. See this article for how to identify and destroy them -- https://t.co/dYP1hThh6Y"
2089,2020-09-07,Other,"USA.PA.Philadelphia","","@MollyJongFast Spotted lantern flies. Eff those guys."
2090,2020-09-07,Other,"USA.PA.Philadelphia","","Spotted lantern flies have gotten brazen. Two landed on me in center city (a death wish)"
2091,2020-09-07,Other,"","","State and federal officials will treat the Stauffer Industrial Park in Taylor for spotted lanternflies after finding evidence of the invasive species. https://t.co/yjgm96HnNC"
2092,2020-09-07,Other,"USA.PA.Philadelphia","","On this #LaborDay, a sticky trap is hard at work undermining the efforts of spotted lantern flies https://t.co/SSUnZD5hjj"
2093,2020-09-07,Other,"","Pennsylvania, China, Foglesville, PA","RT @AntlerOutlaw If you’re in agriculture in Pennsylvania, you know this is another invasive species from China. It’s the Spotted Lantern Fly. I killed this one while eating at Cracker Barrel in Foglesville, PA. I’ll be reporting this on Tuesday when the Ag agency opens! https://t.co/sxH5vYoi6W"
2094,2020-09-07,Spread/Sighting,"USA.PA.Philadelphia","","I just killed a spotted lantern fly so I’m living up to my civic duty as a Pennsylvanian by taking my sports frustration out on an invasive species."
2095,2020-09-07,Other,"","","Can't believe Cardi B is giving that scrub Candace Owens the time of day. These right wing grifters are a plague worse than the spotted lanternfly."
2096,2020-09-07,Other,"","Pennsylvania","A-Treat, rural two lane highways, and spotted lantern flies. Doesn’t get more Pennsylvania than that. https://t.co/DlE3Te2LOJ"
2097,2020-09-07,Other,"USA.PA.Philadelphia","","law and order: sfu (spotted lanternfly unit)"
2098,2020-09-07,Spread/Sighting,"USA.MD.Baltimore","Huntingdon Valley","RT @Beccah6abc Remember spotted lanternflies? Yes, they’re still a thing and they’re as dangerous as ever. This tree in Huntingdon Valley is infested. If you see them, kill them, they’re invasive and devastating for plants! @6abc https://t.co/nthedMp1iH"
2099,2020-09-07,Other,"USA.PA.Philadelphia","","@kateberlant @NikkiGlaser Yeah if I have kids they will grow up in a world full of global warming and spotted lantern flies 😢"
2100,2020-09-07,Other,"","","Keep seeing 100 spotted lantern flies on my 15 minute break. What am I supposed to do— squash 100 spotted lantern flies on my 15 minute break???"
2101,2020-09-07,Spread/Sighting,"USA.PA.Philadelphia","","@bug_gwen @isabetabug @TheBugChicks Thanks for the link, I will read through this! The bigger mantises are actually getting popular around here because they're seen eating spotted lanternflies. Which is emotionally satisfying, but probably doesn't dent the swarms enough to really matter... https://t.co/JdcmQG35Ot"
2102,2020-09-07,Other,"","","bro literally seconds after i tweeted this, a spotted lantern fly appeared between my window and the screen. i think i have started a war."
2103,2020-09-07,Other,"USA.PA.Philadelphia","","The day a spotted lantern fly comes into the apartment is the day I move out of philly"
2104,2020-09-07,Other,"USA.NY.New York","","Spotted Lantern Flies: 0 @JimboBaggins311: 13"
2105,2020-09-07,Other,"","","Anyone else feel like they are positively contributing to 2020 by squashing Spotted Lanternflies?"
2106,2020-09-06,Other,"","","Don't you hate it when you see a Spotted Lanternfly, but it is too high up to squish."
2107,2020-09-06,Other,"USA.PA.Philadelphia","","On this Holiday weekend Im “Teeing Off” on the Spotted Lantern Fly! A George Cahill Comedy! https://t.co/hBxIx2INji"
2108,2020-09-06,Other,"","","Killed a lot of spotted lantern flies, kinda feel like the final boss"
2109,2020-09-06,Spread/Sighting,"","Pennsylvania, China, Foglesville, PA","If you’re in agriculture in Pennsylvania, you know this is another invasive species from China. It’s the Spotted Lantern Fly. I killed this one while eating at Cracker Barrel in Foglesville, PA. I’ll be reporting this on Tuesday when the Ag agency opens! https://t.co/sxH5vYoi6W"
2110,2020-09-06,Other,"USA.NY.New York","America","Hear me out: a kids’ book themed around the poor treatment of immigrants in America but through the anthropomorphization of spotted lantern flies"
2111,2020-09-06,Other,"","","@nvalentino_ bitch i'm a spotted lanternfly destroying page, stop hating + get a hobby😘"
2112,2020-09-06,Other,"","","the spotted lantern flies are out in FULL force today, gross"
2113,2020-09-06,Other,"","","a spotted lantern fly landed on my SHOULDER at work today and i almost quit on the spot"
2114,2020-09-06,Other,"USA.CA.Los Angeles","","Looks like children in my hometown are being taught to kill bugs https://t.co/YcF1lL4VHE https://t.co/fGCMV8gY5i"
2115,2020-09-06,Other,"USA.PA.Philadelphia","","10 Free and Easy Ways to Add Color to Your Space with Spotted Lanternfly Carcuses"
2116,2020-09-06,Other,"","","Turns out my dog LOVES killing spotted lantern flies"
2117,2020-09-06,Other,"USA.CA.San Francisco","Alyssa","@robert_rwallace @alyssaharad Not sure what’s going on this year—they’re covered in some sticky substance and they’re yellowing early. I have a bad spotted lanternfly infestation so I think that may be it. (Sorry, Alyssa, we are nerding out about milkweed in your mentions!)"
2118,2020-09-06,Other,"USA.PA.Philadelphia","","Everyone should be as happy as this couple strolling down the alley killing spotted lantern flies. https://t.co/J7gLQEck4E"
2119,2020-09-06,Other,"USA.PA.Philadelphia","","Stepped out of Philly for a moment to get away from these punk spotted lanternflies but they out here too... https://t.co/7PlxONNXq7"
2120,2020-09-06,Other,"","","New Girl should not have ended because the world needs a clip of Schmidt saying “I’ll kill spotted lantern flies ALL DAY. ON SIGHT”"
2121,2020-09-06,Other,"","","Did my part as a Central PA visitor and executed a spotted lanternfly this morning."
2122,2020-09-06,Other,"","","three times now a spotted lantern fly has landed on my windshield directly in front of my face and let me tell you it is a cursed experience."
2123,2020-09-06,Other,"USA.PA.Philadelphia","","Praying mantis are the answer to the spotted lanternfly. Been seeing them more and more now since they came out."
2124,2020-09-06,Other,"","","@debraggery @VoteBlueKY @Shannadelic and now we are dealing with the Spotted Lantern Fly, another horrible 10x worse invasive species. This year wasn't as bad as 1-2 years ago. Literally that was the only time I used bug spray. I would spray them directly & yell DIE M.F! and they would still fly away."
2125,2020-09-06,Other,"","","Spotted lantern fly?"
2126,2020-09-06,Other,"USA.NY.New York","","I DESTROYED a spotted lanternfly this morning using only a seat cushion and a well-timed stomp this morning. https://t.co/6mxaappBLe"
2127,2020-09-06,Spread/Sighting,"","Pennsylvania","RT @chesapeakebay Sales of sticky-band traps have been booming everywhere that the invasive spotted lanternfly has shown up in Pennsylvania, but other critters are getting caught in their grips https://t.co/e6t5hCZ6ik"
2128,2020-09-06,Other,"USA.TN.Nashville","","Take a break from politics with this picture of Spotted Lantern Flies on my folks' flag pole. #switchupyourbadnews https://t.co/No8PbwM1MQ"
2129,2020-09-06,Other,"","Pennsylvania","RT @chesapeakebay Sales of sticky-band traps have been booming everywhere that the invasive spotted lanternfly has shown up in Pennsylvania, but other critters are getting caught in their grips https://t.co/e6t5hCZ6ik"
2130,2020-09-06,Spread/Sighting,"","Pennsylvania","Sales of sticky-band traps have been booming everywhere that the invasive spotted lanternfly has shown up in Pennsylvania, but other critters are getting caught in their grips https://t.co/e6t5hCZ6ik"
2131,2020-09-06,Other,"USA.NY.New York","","If you’ve never been driving at 70mph with a spotted lantern fly zooming around your head...have you ever really lived?"
2132,2020-09-06,Other,"","","Philly people - how many spotted lanternflies do you kill per day"
2133,2020-09-06,Other,"","","@bluwndzdancing @Shannadelic They’re an invasive, non-native species. #SorryNotSorry And the spotted lanternflies make me positively murderous. They’re killing our vegetation. Deciduous, pine, and agriculture! 😡"
2134,2020-09-06,Spread/Sighting,"","","killed a spotted lantern fly today. curb stomped that hoe"
2135,2020-09-06,Other,"","","however a spotted lanternfly did manage to break into my home which was supremely unrighteous. anyway gigos gigos cats butts, etc, hope everyone is having a good weekend 💕"
2136,2020-09-06,Other,"","","Between knocking the spotted lantern flies off my neck - tired https://t.co/A5sHsc8NUE"
2137,2020-09-05,Other,"","south eastern PA","Dude lantern bugs are a real problem in south eastern PA. these things are everywhere! Invasive species that outcompetes local insects and destroys crops https://t.co/XPO4cRzYMS"
2138,2020-09-05,Other,"USA.NJ.Sicklerville","","@YIMBY_Princeton @bikemamadelphia Spotted lanternflies feed on a variety of plants trees, but show a strong preference for tree of heaven, grape, cherry, peach, apple, pine, sugar maple and cherry trees."
2139,2020-09-05,Other,"","","“I know marijuana legalization is really popular, and that prohibition is draconian and destructive, but the election is coming up and we have more important things to worry about. Like the spotted lantern fly.” -99% of politicians who will be forgotten in the history books."
2140,2020-09-05,Other,"USA.NY.New York","Philadelphia","The invasion of the spotted lanternfly in Philadelphia is slightly concerning. Hopefully the cold weather will help prevent the migration and hatching cycles."
2141,2020-09-05,Other,"USA.PA.Philadelphia","US","have scientists figured out a more efficient way to get rid of spotted lanternflies in the US yet because I feel like relying on us to stomp their existence out just isn’t cutting it and I’m so tired of constantly feeling like there’s bugs crawling on me whenever I go out thnx"
2142,2020-09-05,Spread/Sighting,"NLD.Noord-Brabant.Eindhoven","","My resident just got attacked by a spotted lantern fly and I almost needed a new pair of panties from laughing so hard"
2143,2020-09-05,Spread/Sighting,"","","Omg Gilly just caught a spotted lantern fly in mid air"
2144,2020-09-05,Other,"USA.PA.Philadelphia","","Our dog, who will eat anything, does not eat spotted lantern flies. There goes my idea for contributing to their eradication"
2145,2020-09-05,Other,"USA.NJ.Trenton","","This is a spotted lantern fly. If you see them, kill them. https://t.co/06bS0LPnJM"
2146,2020-09-05,Other,"","","The booming spotted lanternfly population is the feel good hit of the summer"
2147,2020-09-05,Other,"USA.PA.Philadelphia","","@Axalta you have a serious spotted lanternfly infestation at your @NavyYardPhila bldg. 100s and 100s of them!!! @PennStateExt"
2148,2020-09-05,Other,"","","RT @nikkirose1204 Watching people kill spotted lantern flies is honestly the funniest thing. Full on throwing hands! https://t.co/tafquDdK13"
2149,2020-09-05,Other,"","","@crevicedwelling spotted lanternfly innocent"
2150,2020-09-05,Other,"","Centre County","@mskvarla36 Come up with some elaborate explanation. You chased down a rogue spotted lanternfly and it hired a bear to fight you but you defeated the evil and its now eradicated from Centre County."
2151,2020-09-05,Other,"IDN.Yogyakarta.Yogyakarta","Canada","RT @InvSp These #SLF adults are hunting for a host plant! They tend to search for, and climb up, the nearest and tallest things around! They are not in Canada, but keep eyes peeled and report suspected sightings to @InspectionCan or https://t.co/3zuoo8Rr70 🍁 https://t.co/atZt4Uid5g https://t.co/G86EZMT8tb"
2152,2020-09-05,Other,"","","These spotted lantern flies are wearing me thin."
2153,2020-09-05,Other,"USA.PA.Philadelphia","","Killing spotted lanternflies is unpaid labor"
2154,2020-09-05,Other,"","","Potential hot take: spotted lantern flies are beautiful"
2155,2020-09-05,Other,"USA.PA.Allentown","","RT @TV2_Sports Tonight on Sports Scene @2Sports_Gwen visits a few of the area’s wineries! Tune in at 6, 6:30 & 9pm to see her segment on harvest season, spotted lanternflies, and the wine trail! @lvwinetrail @sectv https://t.co/pmNeOhEOZH"
2156,2020-09-05,Other,"","US","RT @valavineyards US Representative Chrissy Houlahan hosts a press conference at the little vineyard on congressional funding to eradicate the spotted lantern fly. We are very thankful for their efforts! https://t.co/lHxofnZESO"
2157,2020-09-05,Other,"","US","RT @valavineyards US Representative Chrissy Houlahan hosts a press conference at the little vineyard on congressional funding to eradicate the spotted lantern fly. We are very thankful for their efforts! https://t.co/lHxofnZESO"
2158,2020-09-05,Other,"","","4 spotted lantern fly deaths and counting for today. #doingmypart #SpottedLanternFly"
2159,2020-09-05,Other,"USA.PA.Philadelphia","","The way I almost drove into a telephone pole when a spotted lanternfly landed on my steering wheel"
2160,2020-09-05,Other,"","","These Spotted Lantern Flies are out of control"
2161,2020-09-05,Other,"USA.PA.Philadelphia","","if you think your day is going bad, i’ve had five (5) spotted lantern flies land on me in one hour of outdoor dining. i’m miserable"
2162,2020-09-05,Other,"","","@PHLAirport There looks like a large infestation of spotted lantern flies @PHLAirport https://t.co/CqSm8nliyg"
2163,2020-09-05,Other,"USA.NY.New York","","While time may not exactly fly during a pandemic, this apparently does https://t.co/giaXIfTHGE https://t.co/Tqenv3NvS8"
2164,2020-09-05,Other,"","","Watching people kill spotted lantern flies is honestly the funniest thing. Full on throwing hands! https://t.co/tafquDdK13"
2165,2020-09-05,Other,"","US","RT @valavineyards US Representative Chrissy Houlahan hosts a press conference at the little vineyard on congressional funding to eradicate the spotted lantern fly. We are very thankful for their efforts! https://t.co/lHxofnZESO"
2166,2020-09-05,Other,"USA.PA.Lancaster","","I really hate Spotted Lantern Flies -- they are gross and fly into your face on purpose!! Ughhhhhhhhh 😡"
2167,2020-09-05,Other,"USA.PA.Philadelphia","","TWO SPOTTED LANTERNFLIES IN MY BACKYARD FFS"
2168,2020-09-05,Other,"","","I had a spotted lantern fly in my room last night then had a dream there was like 30 of them in here"
2169,2020-09-05,Other,"","","RT @adapt2030 Plagues of beetles, spotted lanternflies and Asian longhorned ticks are wiping out forests https://t.co/tuuesf96Cj #gotminiiceage #miniiceage #littleiceage #grandsolarminimum #earthchanges #daviddubyne #adapt2030 #beetle #forest https://t.co/sBQLfTl8F0"
2170,2020-09-05,Spread/Sighting,"","Seattle","@PinotNPaws So when we lived in Seattle we found that it is free of bugs EXCEPT ginormous - seriously so so big - spiders. Didn’t get one mosquito bite in 2 summers there, no spotted lantern flies, ticks. But the spiders OMG"
2171,2020-09-05,Other,"","US","RT @valavineyards US Representative Chrissy Houlahan hosts a press conference at the little vineyard on congressional funding to eradicate the spotted lantern fly. We are very thankful for their efforts! https://t.co/lHxofnZESO"
2172,2020-09-05,Other,"","US","RT @valavineyards US Representative Chrissy Houlahan hosts a press conference at the little vineyard on congressional funding to eradicate the spotted lantern fly. We are very thankful for their efforts! https://t.co/lHxofnZESO"
2173,2020-09-05,Other,"","","Plagues of beetles, spotted lanternflies and Asian longhorned ticks are wiping out forests https://t.co/tuuesf96Cj #gotminiiceage #miniiceage #littleiceage #grandsolarminimum #earthchanges #daviddubyne #adapt2030 #beetle #forest https://t.co/sBQLfTl8F0"
2174,2020-09-05,Other,"","US","US Representative Chrissy Houlahan hosts a press conference at the little vineyard on congressional funding to eradicate the spotted lantern fly. We are very thankful for their efforts! https://t.co/lHxofnZESO"
2175,2020-09-05,Other,"","","@jeffvandermeer Very nice! Our current invasive is the spotted lantern fly, so I can't say I like seeing those around here. Mantises, on the other hand, should be fine. This one visited my porch last month. https://t.co/NYEKfKpFrg"
2176,2020-09-05,Other,"","","Summit Residents Urged to be on the Lookout for the Spotted Lanternfly via TAPinto Summit https://t.co/V5NqvC3WB6"
2177,2020-09-05,Other,"USA.PA.Philadelphia","","@jeffvandermeer LOVE THEM. They are the only thing out there that eats the Spotted Lanternfly, which apparently tastes SO BAD that it makes BIRDS VOMIT"
2178,2020-09-05,Other,"RUS.Central.Smolensk","","RT @stuffedowl i am walking with a dead yellow-breasted chat and ten spotted lanternflies, so this day can go ahead and finish up whenever it wants"
2179,2020-09-05,Other,"","","i am walking with a dead yellow-breasted chat and ten spotted lanternflies, so this day can go ahead and finish up whenever it wants"
2180,2020-09-05,Spread/Sighting,"","America","@TriggerAnima an attack on titan clone about a spotted lantern fly in America who’s brethren are being killed on sight by humans for seemingly no reason? Twist is they were the invading species? Thanks @evanmcclelland for talking this idiotic idea out with me"
2181,2020-09-05,Spread/Sighting,"","","i killed so many spotted lantern flies today my ex would be so proud of me"
2182,2020-09-05,Spread/Sighting,"","China, India, Vietnam, Berks County, Pennsylvania","@tannemic I think my area was ground zero— Spotted lanternfly, an invasive planthopper native to China, India & Vietnam, is thought to have arrived as egg masses on a stone shipment in 2012. The first infestation was found in Berks County, Pennsylvania in 2014."
2183,2020-09-05,Other,"USA.PA.Philadelphia","","like i would never hurt a fly (except if it were a spotted lanternfly) so when people do that it makes me uncomfortable!!! and like ppl do that a lot more to trans and/or black women and don't think that we don't notice it"
2184,2020-09-05,Other,"","","The spotted lantern fly must die. This is the stuff of nightmares. @UDelaware @USDA @AgricultureDE @WhiteClayCreek https://t.co/9n3WzReaAq https://t.co/T3CF9PJwZU"
2185,2020-09-05,Other,"","","hit a spotted lanternfly with my car. ran that bitch over"
2186,2020-09-05,Other,"USA.PA.Philadelphia","US","@DrexelNow @DrexelUniv Hey @DrexelNow, please help us expand our knowledge of SLF predation in the US by contributing this observation to our community science project over on @inaturalist. And spreading the word, of course! https://t.co/JrsL2za5q0"
2187,2020-09-05,Other,"","PA","@tellit2_mel @Platonist14 Not only is the dining out experience being ruined by mask wearing, we get dive bombed here in PA by spotted lantern flies."
2188,2020-09-05,Other,"USA.PA.Philadelphia","","@TstreeT4Life Spiders are amazing! We would love it if you could add an image of this to our Spotted Lanternfly project on @inaturalist. https://t.co/JrsL2za5q0"
